Frame,p1xaxis,p1yaxis,p2xaxis,p2yaxis,p3xaxis,p3yaxis,tree1,tree2,tree3,AB,BC
256,44,240,461,206,484,206,100,200,100,100,150
257,44,240,462,206,484,206,100,200,100,100,150
258,44,240,462,206,484,206,100,200,100,100,150
259,44,240,462,237,484,206,100,200,100,100,150
260,44,240,462,237,484,206,100,200,100,100,150
261,44,240,462,240,484,206,100,200,100,100,150
262,44,240,461,239,484,206,100,200,100,100,150
263,44,240,462,206,484,206,100,200,100,100,150
264,44,240,462,206,484,206,100,200,100,100,150
265,44,240,462,206,484,206,100,200,100,100,150
266,44,240,461,205,484,206,100,200,100,100,150
267,44,240,461,206,484,206,100,200,100,100,150
268,44,240,461,205,484,206,100,200,100,100,150
269,44,240,462,205,484,206,100,200,100,100,150
270,44,240,462,205,484,206,100,200,100,100,150
271,44,240,462,206,484,206,100,200,100,100,150
272,44,240,462,206,484,206,100,200,100,100,150
273,44,240,462,205,484,206,100,200,100,100,150
274,44,240,462,205,484,206,100,200,100,100,150
275,44,240,461,206,484,206,100,200,100,100,150
276,44,240,461,206,484,206,100,200,100,100,150
277,44,240,462,206,484,206,100,200,100,100,150
278,44,240,461,206,484,206,100,200,100,100,150
279,44,240,461,205,484,206,100,200,100,100,150
280,44,240,461,206,484,206,100,200,100,100,150
281,44,240,462,206,484,206,100,200,100,100,150
282,44,240,461,206,484,206,100,200,100,100,150
283,44,240,462,207,484,206,100,200,100,100,150
284,44,240,462,207,484,206,100,200,100,100,150
285,44,240,462,206,484,206,100,200,100,100,150
286,44,240,462,207,484,206,100,200,100,100,150
287,44,240,321,236,484,206,100,200,100,100,150
288,44,240,321,236,484,206,100,200,100,100,150
289,44,240,461,206,484,206,100,200,100,100,150
290,44,240,461,206,484,206,100,200,100,100,150
291,44,240,460,205,484,206,100,200,100,100,150
292,44,240,460,205,484,206,100,200,100,100,150
293,44,240,461,206,484,206,100,200,100,100,150
294,44,240,461,206,484,206,100,200,100,100,150
295,44,240,461,205,484,206,100,200,100,100,150
296,44,240,461,206,484,206,100,200,100,100,150
297,44,240,462,206,484,206,100,200,100,100,150
298,44,240,462,206,484,206,100,200,100,100,150
299,44,240,460,205,484,206,100,200,100,100,150
300,44,240,461,205,484,206,100,200,100,100,150
301,44,240,461,204,484,206,100,200,100,100,150
302,44,240,461,204,484,206,100,200,100,100,150
303,44,240,462,205,484,206,100,200,100,100,150
304,44,240,462,205,484,206,100,200,100,100,150
305,44,240,463,204,484,206,100,200,100,100,150
306,44,240,462,204,484,206,100,200,100,100,150
307,44,240,322,202,484,206,100,200,100,100,150
308,44,240,322,202,484,206,100,200,100,100,150
309,44,240,462,202,484,206,100,200,100,100,150
310,44,240,463,201,484,206,100,200,100,100,150
311,44,240,462,201,484,206,100,200,100,100,150
312,44,240,462,202,484,206,100,200,100,100,150
313,44,240,462,201,484,206,100,200,100,100,150
314,44,240,462,201,484,206,100,200,100,100,150
315,44,240,463,202,484,206,100,200,100,100,150
316,44,240,463,202,484,206,100,200,100,100,150
317,44,240,461,201,484,206,100,200,100,100,150
318,44,240,462,201,484,206,100,200,100,100,150
319,44,240,461,202,484,206,100,200,100,100,150
320,44,240,461,202,484,206,100,200,100,100,150
321,44,240,462,201,484,206,100,200,100,100,150
322,44,240,461,201,484,206,100,200,100,100,150
323,44,240,460,201,484,206,100,200,100,100,150
324,44,240,460,201,484,206,100,200,100,100,150
325,44,240,461,201,484,206,100,200,100,100,150
326,44,240,461,201,484,206,100,200,100,100,150
327,44,240,460,202,484,206,100,200,100,100,150
328,44,240,460,202,484,206,100,200,100,100,150
329,44,240,460,202,484,206,100,200,100,100,150
330,44,240,460,202,484,206,100,200,100,100,150
331,44,240,461,203,484,206,100,200,100,100,150
332,44,240,461,203,484,206,100,200,100,100,150
333,44,240,460,202,484,206,100,200,100,100,150
334,44,240,461,202,484,206,100,200,100,100,150
335,44,240,460,203,651,163,100,200,200,100,200
336,44,240,461,203,651,163,100,200,100,100,150
337,44,240,459,203,651,163,100,200,100,100,150
338,44,240,459,203,651,163,100,200,100,100,150
339,43,203,459,202,651,163,200,200,100,100,150
340,43,204,458,201,651,163,200,200,100,100,150
341,43,204,459,201,651,163,100,200,100,100,150
342,43,204,459,201,651,163,100,200,100,100,150
343,43,204,460,171,651,163,100,200,100,100,150
344,43,204,460,170,651,163,100,200,100,100,150
345,43,204,460,168,651,163,100,200,100,100,150
346,43,204,460,169,651,163,100,200,100,100,150
347,43,204,459,202,651,163,100,200,100,100,150
348,43,204,459,202,651,163,100,200,100,100,150
349,43,204,297,199,651,163,100,200,100,100,150
350,43,204,296,199,651,163,100,200,100,100,150
351,43,204,295,199,651,163,100,200,100,100,150
352,43,204,295,198,651,163,100,200,100,100,150
353,43,204,296,199,651,163,100,200,100,100,150
354,43,204,296,199,651,163,100,200,100,100,150
355,43,204,294,199,651,163,100,200,100,100,150
356,43,204,294,199,651,163,100,200,100,100,150
357,43,204,294,169,651,163,100,200,100,100,150
358,43,204,294,169,651,163,100,200,100,100,150
359,43,204,294,198,651,163,100,200,100,100,150
360,43,204,294,198,651,163,100,200,100,100,150
361,43,204,429,167,651,163,100,200,100,100,150
362,43,204,429,167,651,163,100,200,100,100,150
363,43,204,429,167,651,163,100,200,100,100,150
364,43,204,429,167,651,163,100,200,100,100,150
365,43,204,294,169,651,163,100,200,100,100,150
366,43,204,294,169,651,163,100,100,100,50,50
367,43,204,294,169,651,163,100,100,100,50,50
368,43,204,429,167,651,163,100,200,100,100,150
369,43,204,293,169,651,163,100,200,100,100,150
370,43,204,293,169,651,163,100,100,100,50,50
371,43,204,293,198,651,163,100,200,100,100,150
372,43,204,429,166,651,163,100,200,100,100,150
373,43,204,429,167,651,163,100,200,100,100,150
374,43,204,429,167,651,163,100,200,100,100,150
375,43,204,294,198,651,163,100,200,100,100,150
376,43,204,293,198,651,163,100,200,100,100,150
377,43,204,429,167,651,163,100,200,100,100,150
378,43,204,429,167,651,163,100,200,100,100,150
379,43,204,429,166,651,163,100,200,100,100,150
380,43,204,429,166,651,163,100,200,100,100,150
381,43,204,430,167,651,163,100,200,100,100,150
382,43,204,430,166,651,163,100,200,100,100,150
383,43,204,429,167,651,163,100,200,100,100,150
384,43,204,429,167,651,163,100,200,100,100,150
385,43,204,293,200,651,163,100,200,100,100,150
386,43,204,293,200,651,163,100,200,100,100,150
387,43,204,294,201,651,163,100,200,100,100,150
388,43,204,294,201,651,163,100,200,100,100,150
389,43,204,294,200,651,163,100,200,100,100,150
390,43,204,294,200,651,163,100,200,100,100,150
391,43,204,293,200,651,163,100,200,100,100,150
392,43,204,293,200,651,163,100,200,100,100,150
393,43,204,293,202,651,163,100,200,100,100,150
394,43,204,293,201,651,163,100,200,100,100,150
395,43,204,294,201,651,163,100,200,100,100,150
396,43,204,294,201,651,163,100,200,100,100,150
397,43,204,429,200,651,163,100,200,100,100,150
398,43,204,429,200,651,163,100,200,100,100,150
399,43,204,293,201,651,163,100,200,100,100,150
400,43,204,293,201,651,163,100,200,100,100,150
401,41,239,293,200,651,163,200,200,100,100,150
402,41,239,292,200,651,163,200,200,100,100,150
403,42,239,293,200,651,163,200,200,100,100,150
404,41,239,293,200,651,163,200,200,100,100,150
405,42,239,294,200,651,163,200,200,100,100,150
406,42,239,294,200,651,163,200,200,100,100,150
407,43,239,295,200,651,163,200,200,100,100,150
408,43,239,295,201,651,163,200,200,100,100,150
409,42,238,295,201,651,163,200,200,100,100,150
410,42,238,296,201,651,163,200,200,100,100,150
411,42,238,295,201,651,163,100,200,100,100,150
412,42,238,295,201,651,163,100,200,100,100,150
413,42,238,295,202,651,163,100,200,100,100,150
414,42,238,294,201,651,163,100,200,100,100,150
415,42,238,431,169,651,163,100,200,100,100,150
416,42,238,431,169,651,163,100,200,100,100,150
417,42,238,295,200,651,163,100,200,100,100,150
418,42,238,295,201,651,163,100,200,100,100,150
419,42,238,295,201,651,163,100,100,100,50,50
420,42,238,295,201,651,163,100,100,100,50,50
421,43,237,295,200,651,163,200,200,100,100,150
422,43,238,295,200,651,163,200,200,100,100,150
423,43,238,295,200,651,163,100,100,100,50,50
424,43,238,295,200,651,163,100,100,100,50,50
425,43,238,430,168,651,163,100,200,100,100,150
426,43,238,430,168,651,163,100,200,100,100,150
427,43,238,430,168,651,163,100,200,100,100,150
428,43,238,430,168,651,163,100,200,100,100,150
429,43,238,296,200,651,163,100,200,100,100,150
430,43,238,296,200,651,163,100,200,100,100,150
431,43,238,296,200,651,163,100,100,100,50,50
432,43,238,430,168,651,163,100,200,100,100,150
433,43,238,430,168,651,163,100,100,100,50,50
434,43,238,430,168,651,163,100,100,100,50,50
435,43,238,429,168,651,163,100,200,100,100,150
436,43,238,429,167,651,163,100,200,100,100,150
437,43,238,429,168,651,163,100,200,100,100,150
438,43,238,429,168,651,163,100,200,100,100,150
439,43,238,294,199,651,163,100,200,100,100,150
440,43,238,429,169,651,163,100,200,100,100,150
441,43,238,430,169,651,163,100,200,100,100,150
442,43,238,430,169,651,163,100,200,100,100,150
443,43,238,430,169,651,163,100,100,100,50,50
444,43,238,430,169,651,163,100,100,100,50,50
445,43,238,430,169,651,163,100,100,100,50,50
446,43,238,430,169,651,163,100,100,100,50,50
447,43,238,429,169,651,163,100,200,100,100,150
448,43,238,429,169,651,163,100,200,100,100,150
449,43,238,429,169,651,163,100,100,100,50,50
450,43,238,429,169,651,163,100,100,100,50,50
451,43,238,429,169,651,163,100,100,100,50,50
452,43,238,429,169,651,163,100,100,100,50,50
453,43,238,429,169,651,163,100,100,100,50,50
454,43,238,429,169,651,163,100,100,100,50,50
455,43,238,429,169,651,163,100,100,100,50,50
456,43,238,429,169,651,163,100,100,100,50,50
457,43,238,429,169,651,163,100,100,100,50,50
458,43,238,429,169,651,163,100,100,100,50,50
459,43,238,428,202,651,163,100,200,100,100,150
460,43,238,428,203,651,163,100,200,100,100,150
461,43,238,428,203,651,163,100,100,100,50,50
462,43,238,428,203,651,163,100,100,100,50,50
463,43,238,430,201,651,163,100,200,100,100,150
464,43,238,430,201,651,163,100,200,100,100,150
465,43,238,430,201,651,163,100,200,100,100,150
466,43,238,430,201,651,163,100,200,100,100,150
467,43,238,430,202,651,163,100,200,100,100,150
468,43,238,429,202,651,163,100,200,100,100,150
469,43,238,430,202,651,163,100,200,100,100,150
470,43,238,430,201,651,163,100,200,100,100,150
471,43,238,431,202,651,163,100,200,100,100,150
472,43,238,431,202,651,163,100,200,100,100,150
473,43,238,431,202,651,163,100,100,100,50,50
474,43,238,431,202,651,163,100,100,100,50,50
475,43,238,431,202,651,163,100,100,100,50,50
476,43,238,431,202,651,163,100,100,100,50,50
477,43,238,431,202,651,163,100,100,100,50,50
478,43,238,431,202,651,163,100,100,100,50,50
479,43,238,430,201,651,163,100,200,100,100,150
480,43,238,430,201,651,163,100,200,100,100,150
481,43,238,430,202,651,163,100,200,100,100,150
482,43,238,430,203,651,163,100,200,100,100,150
483,43,238,429,203,651,163,100,200,100,100,150
